Designator,Mid X,Mid Y,Rotation,Layer
BZ501,136.25,-99.75,0.0,top
C201,201.5,-117.0375,90.0,top
C202,199.0,-117.0375,90.0,top
C203,196.3625,-120.85,0.0,top
C204,192.5,-113.6125,90.0,top
C205,188.5,-120.75,180.0,top
C206,199.0,-112.25,270.0,top
C207,201.5,-112.25,270.0,top
C208,205.0,-99.25,270.0,top
C209,199.25,-92.25,270.0,top
C210,153.5,-134.25,0.0,top
C211,202.0,-129.5,90.0,top
C212,199.5,-129.5,90.0,top
C213,191.75,-129.5,90.0,top
C214,189.25,-129.5,90.0,top
C301,156.25,-122.0,270.0,top
C302,169.25,-122.0,270.0,top
C303,153.5,-136.0,0.0,top
C304,153.5,-139.75,0.0,top
C305,153.5,-142.0,0.0,top
C306,174.5,-136.0,270.0,top
C307,172.25,-136.0,270.0,top
C308,179.25,-128.25,0.0,top
C401,148.75,-76.0,180.0,top
C402,142.0,-84.25,180.0,top
C403,142.0,-86.0,0.0,top
C404,142.0,-89.5,180.0,top
C405,170.5,-76.0,180.0,top
C406,163.75,-84.25,180.0,top
C407,163.75,-86.0,0.0,top
C408,163.75,-89.5,180.0,top
C501,163.75,-100.5,270.0,top
C502,170.25,-100.5,90.0,top
C503,121.25,-101.5,180.0,top
C504,168.25,-110.75,180.0,top
C505,172.5,-110.75,0.0,top
C506,173.5,-107.5,90.0,top
D201,209.75,-98.25,0.0,top
D202,215.75,-133.75,180.0,top
D203,215.75,-129.0,180.0,top
D204,181.5,-142.5,0.0,top
D205,215.75,-138.5,180.0,top
D301,122.25,-119.25,90.0,top
D501,126.75,-99.75,270.0,top
D502,122.25,-64.75,90.0,top
F201,220.5,-83.0,270.0,top
F202,207.25,-113.5,270.0,top
F203,207.1375,-137.25,180.0,top
F301,181.5,-139.5,0.0,top
FID101,108.5,-64.0,0.0,top
FID102,108.5,-146.0,0.0,top
FID103,217.0,-146.0,0.0,top
J201,205.75,-69.7,0.0,top
J202,189.8,-66.7225,180.0,top
J203,223.75,-136.0,0.0,top
J204,220.2775,-108.75,90.0,top
J205,206.5,-144.915,0.0,top
J301,116.5,-126.5,0.0,top
J302,144.75,-126.5,0.0,top
J303,169.5,-144.915,0.0,top
J401,148.75,-64.3,0.0,top
J402,170.5,-64.3,0.0,top
J501,129.0,-64.3,0.0,top
J502,116.5,-64.3,0.0,top
J601,101.25,-119.5,180.0,top
J602,101.25,-133.25,180.0,top
J603,101.25,-80.75,180.0,top
L201,195.5,-106.25,0.0,top
Q201,208.5,-92.25,90.0,top
Q301,162.0,-130.0,0.0,top
Q501,145.75,-97.0,0.0,top
Q502,161.25,-106.0,0.0,top
Q503,161.25,-109.75,0.0,top
Q504,109.75,-67.75,270.0,top
R201,189.0,-113.6125,270.0,top
R202,191.5,-119.725,270.0,top
R203,188.5,-118.725,180.0,top
R204,209.5,-101.0,180.0,top
R205,215.75,-135.75,180.0,top
R206,215.75,-131.0,180.0,top
R207,153.5,-130.0,180.0,top
R208,153.5,-132.25,0.0,top
R209,196.5,-126.25,180.0,top
R210,199.5,-144.5,90.0,top
R211,213.5,-144.5,90.0,top
R212,215.75,-140.5,180.0,top
R301,153.5,-137.75,180.0,top
R302,124.93,-119.25,90.0,top
R303,162.0,-134.5,0.0,top
R304,162.0,-132.75,0.0,top
R305,176.5,-144.5,270.0,top
R306,162.5,-144.5,270.0,top
R307,179.25,-134.5,0.0,top
R308,179.25,-136.5,0.0,top
R309,179.25,-132.5,0.0,top
R310,179.25,-130.5,180.0,top
R401,134.5,-76.75,90.0,top
R402,131.75,-76.75,90.0,top
R403,158.5,-83.75,270.0,top
R404,156.25,-83.75,90.0,top
R405,158.5,-68.5,270.0,top
R406,160.75,-68.5,90.0,top
R407,180.25,-83.75,270.0,top
R408,178.0,-83.75,90.0,top
R501,145.75,-102.75,0.0,top
R502,145.75,-100.25,0.0,top
R503,158.0,-106.0,270.0,top
R504,158.0,-109.75,90.0,top
R505,109.75,-73.5,180.0,top
R506,164.5,-106.0,90.0,top
R507,109.75,-71.0,180.0,top
R508,164.5,-109.75,90.0,top
R509,177.0,-109.25,270.0,top
R510,121.25,-98.0,0.0,top
R511,121.25,-99.75,0.0,top
SW201,189.5475,-143.25,270.0,top
SW301,161.75,-122.0,0.0,top
SW302,174.75,-122.0,0.0,top
SW501,110.0,-99.75,180.0,top
U201,195.5,-117.75,0.0,top
U202,195.5,-129.5,0.0,top
U301,130.65,-134.07,180.0,top
U302,169.5,-136.5,90.0,top
U303,169.5,-131.25,90.0,top
U401,148.75,-85.75,90.0,top
U402,170.5,-85.75,90.0,top
U501,167.0,-100.5,90.0,top
U502,170.5,-107.75,-90.0,top
